WARD_NAME,WARD_NO,date,mean
Ramaswamy Palya,62,01-04-2019,3.56E-05
Jayamahal,63,01-04-2019,1.1E-05
Halsoor,90,01-04-2019,1.7E-05
Bharathi Nagar,91,01-04-2019,1.06E-05
Shivaji Nagar,92,01-04-2019,-1.92E-06
Vasanth Nagar,93,01-04-2019,1.03E-05
Shantala Nagar,111,01-04-2019,2.44E-05
Domlur,112,01-04-2019,1.31E-05
Agaram,114,01-04-2019,1.39E-05
Vannarpet,115,01-04-2019,1.35E-05
Nilasandra,116,01-04-2019,1.24E-05
Shanthi Nagar,117,01-04-2019,1.62E-05
Jogupalya,89,01-04-2019,1.83E-05
Chickpete,109,01-04-2019,-3.54E-06
Cottonpete,120,01-04-2019,-4.28E-06
Binnipete,121,01-04-2019,1.57E-05
Dattatreya Temple,77,01-04-2019,3.49E-05
Gandhinagar,94,01-04-2019,8.39E-06
Subhash Nagar,95,01-04-2019,3.25E-06
Okalipuram,96,01-04-2019,1.6E-05
Basaveshwara Nagar,100,01-04-2019,3.03E-05
Kamakshipalya,101,01-04-2019,1.7E-05
Shivanagara,107,01-04-2019,3.24E-05
Sriramamandir,108,01-04-2019,2.76E-05
Dayananda Nagar,97,01-04-2019,2.46E-05
Prakash Nagar,98,01-04-2019,2.89E-05
Rajaji Nagar,99,01-04-2019,2.98E-05
Kaveripura,103,01-04-2019,1.64E-05
Govindaraja Nagar,104,01-04-2019,1.71E-05
Agrahara Dasarahalli,105,01-04-2019,2.04E-05
Dr. Raj Kumar Ward,106,01-04-2019,1.98E-05
Marenahalli,125,01-04-2019,3.25E-05
Maruthi Mandir ward,126,01-04-2019,3.55E-05
Mudalapalya,127,01-04-2019,3.93E-05
Nagarabhavi,128,01-04-2019,5.92E-05
Nayandahalli,131,01-04-2019,4.38E-05
Kempapura Agrahara,122,01-04-2019,1.74E-05
Vijayanagar,123,01-04-2019,1.8E-05
Hosahalli,124,01-04-2019,2.14E-05
Attiguppe,132,01-04-2019,5.78E-05
Hampi Nagar,133,01-04-2019,4.46E-05
Bapuji Nagar,134,01-04-2019,3.93E-05
Gali Anjenaya Temple ward,157,01-04-2019,2.41E-05
Deepanjali Nagar,158,01-04-2019,4.21E-05
Padarayanapura,135,01-04-2019,2.13E-05
Jagajivanaramnagar,136,01-04-2019,1.63E-05
Rayapuram,137,01-04-2019,1.34E-05
Chalavadipalya,138,01-04-2019,-4.17E-06
K R Market,139,01-04-2019,-6.3E-06
Chamrajapet,140,01-04-2019,-1.84E-06
Azad Nagar,141,01-04-2019,1.14E-05
Sudham Nagara,118,01-04-2019,-3.05E-06
Dharmaraya Swamy Temple,119,01-04-2019,-1.12E-05
